"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","15:00","15:00","1,72","8:43","8:32","129","152","3","0","125","312","0,89","7,1","8,1","197","174","2.26","341","4.43","124","22,0","5:26","250","14:39","8:30"
"","1","Run","2","0:52,1","15:52","0,20","4:21","5:21","141","152","1","0","156","279","1,19","9,6","8,2","314","350","4.55","424","5.51","11","20,0","4:27","163","0:52","4:20"
"","","Recovery","3","1:31,2","17:23","0,20","7:36","7:36","157","167","0","0","134","311","0,93","7,9","8,5","275","214","2.78","422","5.48","17","19,0","4:25","161","1:31","7:35"
"","2","Run","4","0:49,1","18:12","0,20","4:05","4:30","172","188","0","0","165","259","1,34","10,2","7,6","379","416","5.40","457","5.94","12","19,0","4:08","169","0:48","4:00"
"","","Recovery","5","1:17,8","19:30","0,20","6:29","5:45","184","190","0","0","156","294","1,11","9,7","8,8","360","322","4.18","455","5.91","18","19,0","4:08","167","1:17","6:25"
"","3","Run","6","0:54,4","20:25","0,20","4:32","4:55","184","188","0","0","168","263","1,22","9,5","7,8","352","376","4.88","412","5.35","13","19,0","4:26","174","0:53","4:25"
"","","Recovery","7","1:24,6","21:49","0,20","7:03","6:19","180","189","0","1","160","294","1,00","9,1","9,1","324","292","3.79","409","5.31","18","19,0","4:27","171","1:24","7:00"
"","4","Run","8","0:54,8","22:44","0,20","4:34","5:03","173","183","0","0","169","263","1,16","9,2","8,0","343","370","4.81","421","5.47","12","19,0","4:26","174","0:53","4:25"
"","","Recovery","9","1:45,0","24:29","0,20","8:45","8:16","166","185","1","0","128","298","0,92","7,5","8,2","261","196","2.55","419","5.44","22","18,0","4:26","174","1:40","8:20"
"","5","Run","10","0:55,7","25:25","0,20","4:39","4:46","170","179","0","0","166","262","1,27","9,8","7,8","366","390","5.06","427","5.55","13","18,0","4:21","173","0:55","4:35"
"","","Recovery","11","1:21,5","26:46","0,20","6:47","6:07","176","183","0","1","162","288","1,02","9,0","8,9","338","300","3.90","412","5.35","18","18,0","4:30","167","1:21","6:45"
"","6","Run","12","0:55,4","27:42","0,20","4:37","5:09","174","183","0","0","167","269","1,16","9,4","8,1","337","364","4.73","418","5.43","13","18,0","4:33","172","0:54","4:30"
"","","Recovery","13","1:22,9","29:05","0,20","6:54","6:20","179","185","0","0","162","290","0,97","8,8","9,1","327","290","3.77","415","5.39","17","18,0","4:33","172","1:22","6:50"
"","7","Run","14","0:55,5","30:00","0,20","4:38","5:08","174","185","1","0","168","267","1,16","9,3","8,1","338","365","4.74","419","5.44","13","17,0","4:24","175","0:54","4:30"
"","","Recovery","15","1:21,0","31:21","0,20","6:45","6:13","182","189","0","1","160","293","1,01","9,1","9,1","331","295","3.83","427","5.55","18","17,0","4:19","177","1:20","6:40"
"","8","Run","16","0:52,7","32:14","0,20","4:23","4:47","178","186","0","0","171","256","1,22","9,3","7,7","357","387","5.03","433","5.62","13","17,0","4:21","175","0:52","4:20"
"","","Recovery","17","1:41,0","33:55","0,20","8:25","8:15","169","188","0","0","139","290","0,89","7,1","8,2","281","200","2.60","441","5.73","20","17,0","4:19","176","1:40","8:20"
"","","Cool Down","18 - 19","11:37","45:31","1,40","8:19","8:11","149","166","1","2","133","296","0,89","7,7","8,6","233","201","2.61","369","4.79","106","17,0","5:17","165","10:55","7:49"
"","","Cool Down","18","10:00","43:55","1,28","7:49","7:41","151","166","1","1","145","296","0,89","7,7","8,7","241","219","2.84","289","3.75","96","17,0","6:27","165","9:59","7:48"
"","","Cool Down","19","1:36,6","45:31","0,12","13:47","13:42","132","140","0","1","59","300","0,96","7,5","7,9","142","92","1.19","369","4.79","9","17,0","5:17","161","0:56","8:00"
"","Summary","--","--","45:31","45:31","6,32","7:12","7:10","152","190","8","5","140","291","0,97","8,0","8,4","280","235","3.05","457","5.94","476","19,1","4:08","250","44:24","7:02"
